Password was cracked: CuDa : CuDa

[ perf record: Woken up 1 times to write data ]
[ perf record: Captured and wrote 0.006 MB perf.data (52 samples) ]

real	0m0.381s
user	0m0.341s
sys	0m0.277s
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 52  of event 'cycles:u'
# Event count (approx.): 6700575
#
# Overhead  Command          Shared Object       Symbol                                
# ........  ...............  ..................  ......................................
#
    45.15%  passwordCracker  ld-2.28.so          [.] _dl_lookup_symbol_x
    25.59%  passwordCracker  libc-2.28.so        [.] __strcmp_avx2
     5.37%  passwordCracker  libnvomp.so         [.] hxiMasterWaitHostTreeBarrier
     3.59%  passwordCracker  [unknown]           [k] 0xffffffff89c275f1
     3.53%  passwordCracker  [unknown]           [k] 0xffffffff89ae7973
     2.60%  passwordCracker  libnvomp.so         [.] hxiExecuteHostTreeBarrierWithTasks
     2.60%  passwordCracker  [unknown]           [k] 0xffffffff89a27f7b
     2.44%  passwordCracker  libc-2.28.so        [.] _dl_addr
     2.44%  passwordCracker  [unknown]           [k] 0xffffffff89d87552
     2.04%  passwordCracker  libpthread-2.28.so  [.] pthread_create@@GLIBC_2.2.5
     1.19%  passwordCracker  ld-2.28.so          [.] _dl_relocate_object
     0.90%  passwordCracker  [unknown]           [k] 0xffffffff89cb1e43
     0.73%  passwordCracker  [unknown]           [k] 0xffffffff89c1844d
     0.67%  passwordCracker  ld-2.28.so          [.] strcmp
     0.34%  passwordCracker  [unknown]           [k] 0xffffffff8a296380
     0.32%  passwordCracker  ld-2.28.so          [.] _dl_check_map_versions
     0.31%  passwordCracker  [unknown]           [k] 0xffffffff8a4011f0
     0.12%  passwordCracker  ld-2.28.so          [.] __GI___tunables_init
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff89c53eb5
     0.01%  passwordCracker  ld-2.28.so          [.] do_lookup_x
     0.01%  passwordCracker  [unknown]           [k] 0xffffffff89c5414d
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89a68d89
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89b06f8d
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff8a2827a7
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_name_match_p
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_runtime_resolve_xsavec
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_start
     0.00%  passwordCracker  ld-2.28.so          [.] _dl_setup_hash
     0.00%  passwordCracker  libnvomp.so         [.] hxiHostLaunchThreads
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89a690bd
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89c4e93d
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89c547bc
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89c896d0
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff89d874c2
     0.00%  passwordCracker  [unknown]           [k] 0xffffffff8a282ae7


#
# (Tip: To report cacheline events from previous recording: perf c2c report)
#
