Password was cracked: CuDa : CuDa

[ perf record: Woken up 1 times to write data ]
[ perf record: Captured and wrote 0.445 MB perf.data (7275 samples) ]

real	0m0.142s
user	0m0.297s
sys	0m0.116s
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 5488494057
#
# Overhead  Command          Shared Object       Symbol                                   
# ........  ...............  ..................  .........................................
#
    82.52%  passwordCracker  libc-2.28.so        [.] __strcmp_avx2
     6.85%  passwordCracker  libnvomp.so         [.] hxiExecuteHostTreeBarrierWithTasks
     2.97%  passwordCracker  libnvomp.so         [.] hxiMasterWaitHostTreeBarrierWithTasks
     0.82%  passwordCracker  passwordCracker     [.] __nv_bruteForce_F1L34_1
     0.71%  passwordCracker  passwordCracker     [.] check
     0.49%  passwordCracker  libnvomp.so         [.] hxiEmulateHostThreadLaunch
     0.33%  passwordCracker  libnvomp.so         [.] threadPoolEntryPoint
     0.26%  passwordCracker  libnvomp.so         [.] nvompSchedulerForStaticInit<int>
     0.24%  passwordCracker  libnvomp.so         [.] hxiMasterWaitHostTreeBarrier
     0.18%  passwordCracker  libc-2.28.so        [.] __memset_avx2_unaligned_erms
     0.18%  passwordCracker  libc-2.28.so        [.] __sched_yield
     0.16%  passwordCracker  [unknown]           [k] 0xffffffff9c600010
     0.15%  passwordCracker  [unknown]           [k] 0xffffffff9bc2acaa
     0.14%  passwordCracker  libnvomp.so         [.] prepareNewTeam
     0.13%  passwordCracker  ld-2.28.so          [.] __tls_get_addr
     0.13%  passwordCracker  [unknown]           [k] 0xffffffff9c60001c
     0.12%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b20
     0.11%  passwordCracker  libnvomp.so         [.] runNewTeam
     0.11%  passwordCracker  [unknown]           [k] 0xffffffff9bc27f7b
     0.08%  passwordCracker  [unknown]           [k] 0xffffffff9bce6bec
     0.08%  passwordCracker  [unknown]           [k] 0xffffffff9bd06fc8
     0.08%  passwordCracker  [unknown]           [k] 0xffffffff9bc61f16
     0.07%  passwordCracker  [unknown]           [k] 0xffffffff9bcf37c1
     0.07%  passwordCracker  [unknown]           [k] 0xffffffff9bce6be3
     0.07%  passwordCracker  [unknown]           [k] 0xffffffff9bceb000
     0.07%  passwordCracker  libnvomp.so         [.] hxiHostLaunchInfo
     0.06%  passwordCracker  [unknown]           [k] 0xffffffff9bce6bb0
     0.06%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b2c
     0.06%  passwordCracker  libnvomp.so         [.] targetFuncHostTrampoline_1
     0.06%  passwordCracker  [unknown]           [k] 0xffffffff9bce7973
     0.06%  passwordCracker  libnvomp.so         [.] launchInternal
     0.05%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b28
     0.05%  passwordCracker  [unknown]           [k] 0xffffffff9c496380
     0.05%  passwordCracker  [unknown]           [k] 0xffffffff9bc1d181
     0.05%  passwordCracker  [unknown]           [k] 0xffffffff9bceb007
     0.05%  passwordCracker  libnvomp.so         [.] sched_yield@plt
     0.05%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3500
     0.04%  passwordCracker  libnvomp.so         [.] __kmpc_fork_call
     0.04%  passwordCracker  libnvomp.so         [.] hxiHostThreadNum
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9c601ce0
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3773
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9bcead1d
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9c49119b
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9bcead3d
     0.04%  passwordCracker  [unknown]           [k] 0xffffffff9bcead0b
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9c600013
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bce6be8
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bcead81
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bcf37d5
     0.03%  passwordCracker  libc-2.28.so        [.] __memset_avx2_unaligned
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bd3c627
     0.03%  passwordCracker  libnvomp.so         [.] hxdGetEnclosingActiveLevel
     0.03%  passwordCracker  libnvomp.so         [.] __kmpc_global_thread_num
     0.03%  passwordCracker  libnvomp.so         [.] hxdSetTLS
     0.03%  passwordCracker  libnvomp.so         [.] hxiHostThreadInfo
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bce78f9
     0.03%  passwordCracker  [unknown]           [k] 0xffffffff9bceb00a
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bcead70
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bceae59
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce05c0
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c600090
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c60019e
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bc27fc4
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b10
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bcf3767
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c600155
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c490b58
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c02d974
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce6b37
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bcde9d4
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c60006c
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce7985
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bcf386e
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bc0419f
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce6af2
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce0550
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c6001f8
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c600204
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bc61f1b
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bc041bd
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce6bbd
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9bce725e
     0.02%  passwordCracker  [unknown]           [k] 0xffffffff9c490b18
